School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Blue Springs South,6.52,8.03,14.55,1,3,1
Raymore-Peculiar,5.64,8.5,14.14,5,1,2
Washington,6.37,7.45,13.82,2,6,3
Rock Bridge,6.17,6.46,12.63,3,10,4
Francis Howell,3.98,8.33,12.31,16,2,5
Fatima,3.93,7.7,11.63,17,5,6
Grain Valley,4.0,7.38,11.38,15,7,7
Troy Buchanan,3.17,7.99,11.15,35,4,8
Highland,5.78,4.91,10.69,4,27,9
Blue Springs,4.44,6.17,10.61,12,11,10
Hallsville,3.5,6.98,10.48,25,9,11
Lafayette (Wildwood),3.2,7.09,10.29,34,8,12
Lee's Summit West,5.01,5.26,10.26,6,21,13
Helias Catholic,3.75,6.09,9.84,20,12,14
Kearney,3.85,5.56,9.41,19,17,15
Eureka,4.46,4.85,9.31,11,28,16
Hillsboro,3.25,5.98,9.23,32,14,17
Fulton,4.66,4.13,8.78,8,44,18
Platte County,4.28,4.49,8.77,14,35,19
Jackson,3.73,4.98,8.71,22,25,20
Timberland,3.26,5.44,8.71,31,19,21
Neosho,2.74,5.91,8.65,46,15,22
Nixa,3.55,5.05,8.6,24,24,23
Liberty,3.06,5.47,8.53,38,18,24
Oak Grove,3.47,4.75,8.22,26,30,25
Blair Oaks,2.64,5.57,8.21,49,16,26
Fort Osage,3.6,4.56,8.16,23,34,27
Nevada,2.09,6.0,8.09,70,13,28
Liberty (Wentzville),3.92,4.05,7.98,18,46,29
Father Tolton,3.73,4.06,7.79,21,45,30
Lindbergh,2.86,4.93,7.78,42,26,31
Ozark,3.35,4.35,7.7,27,38,32
Ft. Zumwalt West,2.9,4.69,7.59,41,31,33
St. Dominic,2.24,5.26,7.5,61,20,34
Kickapoo,2.95,4.43,7.38,39,37,35
Staley,4.57,2.75,7.32,9,72,36
Liberty North,4.35,2.96,7.31,13,67,37
Willard,2.69,4.59,7.28,48,33,38
Southern Boone,2.79,4.31,7.1,45,39,39
Westminster Christian Academy,3.16,3.93,7.08,36,49,40
Iberia,2.64,4.17,6.8,50,43,41
Holden,2.82,3.91,6.73,43,50,42
Francis Howell Central,2.95,3.78,6.73,40,53,43
Mid-Buchanan,2.38,4.31,6.69,56,40,44
Bowling Green,1.45,5.21,6.67,92,22,45
St. Elizabeth,1.94,4.6,6.54,76,32,46
Farmington,3.08,3.45,6.53,37,59,47
Marceline,4.7,1.62,6.32,7,102,48
Parkway West,2.04,4.18,6.22,72,42,49
Monroe City,1.94,4.23,6.17,77,41,50
Capital City,1.62,4.44,6.06,84,36,51
Elsberry,2.71,3.34,6.05,47,60,52
Francis Howell North,3.28,2.77,6.04,30,71,53
Macon,2.36,3.67,6.02,57,55,54
Centralia,2.45,3.55,6.0,53,58,55
Parkway South,2.08,3.88,5.96,71,51,56
Jefferson City,1.71,3.66,5.37,82,56,57
Republic,1.33,3.99,5.32,97,48,58
Carthage,1.28,4.03,5.32,98,47,59
Winfield,1.55,3.74,5.29,87,54,60
Linn,2.25,2.9,5.15,60,69,61
Webb City,1.97,3.17,5.13,75,64,62
Park Hill,1.89,3.23,5.12,78,62,63
Northeast (Cairo),2.81,2.05,4.86,44,88,64
Warrenton,0.09,4.75,4.84,127,29,65
Gallatin,2.16,2.55,4.71,68,80,66
Rockwood Summit,1.49,3.18,4.68,90,63,67
Savannah,1.53,3.04,4.57,88,65,68
