School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Washington,6.37,7.45,13.82,1,1,1
Helias Catholic,3.75,6.09,9.84,4,2,2
Kearney,3.85,5.56,9.41,3,5,3
Hillsboro,3.25,5.98,9.23,6,4,4
Platte County,4.28,4.49,8.77,2,7,5
Nevada,2.09,6.0,8.09,15,3,6
Westminster Christian Academy,3.16,3.93,7.08,8,10,7
Farmington,3.08,3.45,6.53,9,12,8
Parkway West,2.04,4.18,6.22,16,9,9
Capital City,1.62,4.44,6.06,20,8,10
Jefferson City,1.71,3.66,5.37,19,11,11
Webb City,1.97,3.17,5.13,17,15,12
Warrenton,0.09,4.75,4.84,32,6,13
Rockwood Summit,1.49,3.18,4.68,22,14,14
Camdenton,2.15,2.4,4.55,14,18,15
Marshfield,1.2,3.27,4.47,24,13,16
North Point,3.35,1.07,4.42,5,27,17
Belton,1.44,2.62,4.06,23,17,18
Kirksville,1.62,2.38,3.99,21,19,19
Cor Jesu Academy,2.21,1.62,3.83,13,22,20
Ft. Zumwalt South,1.73,1.8,3.53,18,21,21
McDonald County,2.48,0.88,3.36,10,29,22
Smithville,3.24,0.05,3.3,7,35,23
Ft. Zumwalt East,2.3,0.66,2.96,12,31,24
Notre Dame (Cape Girardeau),-0.55,2.97,2.42,37,16,25
Branson,0.94,1.14,2.08,26,25,26
Windsor (Imperial),1.1,0.85,1.94,25,30,27
Festus,-0.29,1.99,1.7,34,20,28
Parkway Central,0.46,0.89,1.35,27,28,29
Union,0.15,1.08,1.23,31,26,30
Carl Junction,2.41,-1.23,1.18,11,41,31
St. Joseph's Academy,0.25,0.14,0.39,30,34,32
Pacific,-0.65,0.33,-0.32,38,32,33
Incarnate Word Academy,-1.64,1.19,-0.46,44,23,34
Webster Groves,-0.71,0.16,-0.55,39,33,35
Excelsior Springs,-0.53,-0.03,-0.56,36,36,36
Rolla,0.4,-1.06,-0.66,28,40,37
St. Charles,-0.13,-0.76,-0.89,33,38,38
Bolivar,-1.13,-0.39,-1.52,43,37,39
West Plains,-3.06,1.16,-1.9,49,24,40
Warrensburg,-0.47,-1.69,-2.16,35,42,41
Parkway North,0.35,-2.66,-2.31,29,44,42
Marshall,-0.81,-2.25,-3.06,40,43,43
DeSoto,-0.9,-2.89,-3.8,42,47,44
Nerinx Hall,-3.78,-1.05,-4.83,52,39,45
William Chrisman,-0.87,-5.0,-5.87,41,52,46
Raytown,-2.06,-4.18,-6.24,45,48,47
North County,-3.75,-2.77,-6.52,51,46,48
Hannibal,-2.67,-4.3,-6.97,46,49,49
Hillcrest,-2.95,-4.59,-7.54,48,50,50
Winnetonka,-5.09,-2.69,-7.78,56,45,51
St. Teresa's Academy,-2.93,-5.63,-8.56,47,53,52
Sikeston,-4.54,-4.6,-9.14,55,51,53
Clayton,-3.79,-6.55,-10.34,53,55,54
Holt,-3.94,-8.76,-12.7,54,57,55
Central (Cape Girardeau),-7.4,-5.77,-13.17,59,54,56
Raytown South,-5.87,-7.4,-13.27,57,56,57
Ladue Horton Watkins,-3.21,-10.49,-13.7,50,58,58
University City,-9.32,-11.84,-21.15,61,59,59
Parkview,-8.64,-12.61,-21.25,60,60,60
McCluer North,-7.15,-14.18,-21.33,58,61,61
Lincoln College Prep,-9.42,-15.28,-24.7,62,62,62
McCluer,-11.37,-16.43,-27.8,63,63,63
