Date,Home Team,Home Score,Away Team,Away Score
2023-08-25,Carl Junction,16,Aurora,6
2023-08-25,Joplin,18,Aurora,11
2023-08-25,Park Hill,5,Belton,8
2023-08-25,Holden,10,Belton,4
2023-08-25,Marion C. Early,2,Bolivar,0
2023-08-25,Lebanon,3,Camdenton,4
2023-08-25,Joplin,8,Carl Junction,9
2023-08-25,Waynesville,2,Carthage,6
2023-08-25,West Plains,3,Cassville,10
2023-08-25,Lee's Summit West,8,Centralia,0
2023-08-25,Smithville,14,Centralia,2
2023-08-25,Grain Valley,4,Chillicothe,0
2023-08-25,Harrisonville,0,Chillicothe,9
2023-08-25,Slater,4,Community,9
2023-08-25,Capital City,0,Eureka,7
2023-08-25,Weaubleau,8,Fair Play,2
2023-08-25,Rockwood Summit,9,Farmington,0
2023-08-25,Kelly,1,Farmington,2
2023-08-25,Rock Bridge,9,Festus,1
2023-08-25,Naylor,0,Festus,30
2023-08-25,Silex,0,Francis Howell,9
2023-08-25,Rock Bridge,2,Francis Howell,5
2023-08-25,Grain Valley,11,Harrisonville,0
2023-08-25,Republic,12,Hartville,0
2023-08-25,Park Hill,6,Holden,2
2023-08-25,Liberty North,8,Incarnate Word Academy,0
2023-08-25,Oakville,2,Jackson,9
2023-08-25,Neelyville,2,Jackson,13
2023-08-25,Worth County,0,Jamestown,15
2023-08-25,St. Joseph's Academy,3,Jefferson City,5
2023-08-25,Perryville,5,Jefferson City,18
2023-08-25,Liberty North,12,Kelly,1
2023-08-25,Nixa,3,Kickapoo,4
2023-08-25,Platte County,12,Lafayette (St. Joseph),2
2023-08-25,William Chrisman,8,Lee's Summit,16
2023-08-25,St. Teresa's Academy,3,Lee's Summit,12
2023-08-25,Kearney,6,Lee's Summit North,1
2023-08-25,Oak Grove,7,Lee's Summit North,9
2023-08-25,Smithville,5,Lee's Summit West,11
2023-08-25,Odessa,7,Liberty,3
2023-08-25,Fort Osage,1,Liberty,10
2023-08-25,Helias Catholic,9,Lindbergh,4
2023-08-25,Helias Catholic,8,Marquette,1
2023-08-25,Lindbergh,8,Marquette,2
2023-08-25,New Covenant Academy,0,Marshfield,12
2023-08-25,Ozark,0,Marshfield,2
2023-08-25,Silex,15,Naylor,0
2023-08-25,Summit Christian Academy,3,Nevada,1
2023-08-25,Poplar Bluff,4,Oakville,16
2023-08-25,Fort Osage,10,Odessa,2
2023-08-25,New Covenant Academy,0,Ozark,10
2023-08-25,Oak Park,3,Park Hill South,11
2023-08-25,Warrenton,15,Perryville,0
2023-08-25,St. Charles,3,Platte County,10
2023-08-25,St. Michael the Archangel,0,Pleasant Hill,6
2023-08-25,Neelyville,12,Poplar Bluff,10
2023-08-25,St. Michael the Archangel,0,Raymore-Peculiar,15
2023-08-25,Pleasant Hill,1,Raymore-Peculiar,11
2023-08-25,Incarnate Word Academy,0,Rockwood Summit,18
2023-08-25,Union,9,Rolla,5
2023-08-25,Lutheran South,8,Seckman,14
2023-08-25,Rolla,2,Seckman,13
2023-08-25,Smithville,8,St. Charles,9
2023-08-25,Lutheran South,6,Union,3
2023-08-25,St. Joseph's Academy,3,Warrenton,3
2023-08-25,Walnut Grove,3,Willard,12
2023-08-25,St. Teresa's Academy,7,William Chrisman,16
2023-08-26,Branson,4,Aurora,1
2023-08-26,Hillcrest,4,Aurora,14
2023-08-26,Odessa,4,Belton,2
2023-08-26,Harrisonville,0,Belton,10
2023-08-26,St. Teresa's Academy,0,Belton,11
2023-08-26,Higbee,16,Bevier,6
2023-08-26,Meadville,7,Bevier,14
2023-08-26,Washington,4,Blair Oaks,3
2023-08-26,Walnut Grove,3,Bolivar,6
2023-08-26,Clinton,5,Boonville,3
2023-08-26,Fayette,8,Boonville,5
2023-08-26,Summit Christian Academy,0,Camdenton,7
2023-08-26,Willard,1,Camdenton,3
2023-08-26,Republic,0,Camdenton,5
2023-08-26,Branson,12,Carl Junction,11
2023-08-26,Hillcrest,3,Carl Junction,11
2023-08-26,Republic,11,Carthage,1
2023-08-26,Cassville,1,Carthage,4
2023-08-26,Sherwood,4,Cassville,0
2023-08-26,Chaffee,12,Central (Cape Girardeau),0
2023-08-26,St. Michael the Archangel,2,Centralia,11
2023-08-26,Oak Grove,5,Centralia,2
2023-08-26,Lafayette (St. Joseph),0,Centralia,15
2023-08-26,Pleasant Hill,9,Chillicothe,4
2023-08-26,Smithville,6,Chillicothe,7
2023-08-26,Park Hill,4,Chillicothe,3
2023-08-26,Kirksville,8,Clinton,1
2023-08-26,Eugene,5,Clinton,7
2023-08-26,Jamestown,12,Crocker,1
2023-08-26,Owensville,3,DeSoto,12
2023-08-26,Liberty (Wentzville),10,DeSoto,1
2023-08-26,Pacific,7,DeSoto,6
2023-08-26,East Carter,5,Doniphan,2
2023-08-26,Logan-Rogersville,5,Doniphan,2
2023-08-26,Kelly,10,Doniphan,8
2023-08-26,Notre Dame (Cape Girardeau),4,Doniphan,1
2023-08-26,North Platte,15,East Buchanan,0
2023-08-26,Lexington,16,East Buchanan,9
2023-08-26,Notre Dame (Cape Girardeau),9,East Carter,11
2023-08-26,Capital City,0,Eureka,7
2023-08-26,Fatima,10,Eureka,6
2023-08-26,Blair Oaks,0,Eureka,8
2023-08-26,Washington,3,Fatima,1
2023-08-26,New Franklin,1,Fayette,10
2023-08-26,Lindbergh,7,Festus,0
2023-08-26,Lindbergh,1,Francis Howell,4
2023-08-26,Jackson,2,Francis Howell,1
2023-08-26,Rockwood Summit,0,Francis Howell,10
2023-08-26,Central (Cape Girardeau),4,Fredericktown,5
2023-08-26,Sikeston,1,Fredericktown,17
2023-08-26,Norwood,6,Halfway,2
2023-08-26,St. Michael the Archangel,5,Harrisonville,4
2023-08-26,Lafayette (St. Joseph),6,Harrisonville,7
2023-08-26,Rock Bridge,12,Helias Catholic,2
2023-08-26,Weaubleau,9,Hermitage,2
2023-08-26,Pilot Grove,16,Higbee,10
2023-08-26,Fatima,6,Hillsboro,1
2023-08-26,Capital City,0,Hillsboro,5
2023-08-26,Mexico,0,Hillsboro,15
2023-08-26,Liberty,10,Holden,3
2023-08-26,Lee's Summit,2,Holden,6
2023-08-26,Grain Valley,7,Holden,3
2023-08-26,Wheatland,3,Humansville,2
2023-08-26,Liberty North,1,Jackson,3
2023-08-26,Rock Bridge,15,Jackson,5
2023-08-26,Warrenton,2,Jefferson City,10
2023-08-26,Branson,12,Joplin,3
2023-08-26,Hillcrest,0,Joplin,15
2023-08-26,New Franklin,0,Kirksville,21
2023-08-26,Savannah,3,Kirksville,7
2023-08-26,St. Teresa's Academy,0,Lafayette (St. Joseph),10
2023-08-26,Walnut Grove,5,Lebanon,6
2023-08-26,Kearney,6,Lee's Summit,1
2023-08-26,Platte County,6,Lee's Summit,5
2023-08-26,William Chrisman,3,Lee's Summit North,17
2023-08-26,Fort Osage,10,Lee's Summit North,12
2023-08-26,Pleasant Hill,7,Lee's Summit North,6
2023-08-26,Platte County,3,Lee's Summit West,5
2023-08-26,Liberty,8,Lee's Summit West,7
2023-08-26,Raymore-Peculiar,10,Lee's Summit West,3
2023-08-26,North Platte,9,Lexington,2
2023-08-26,Kearney,7,Liberty,3
2023-08-26,Liberty (Wentzville),5,Linn,7
2023-08-26,Pacific,3,Linn,8
2023-08-26,Windsor (Imperial),0,Linn,16
2023-08-26,St. Clair,0,Logan-Rogersville,3
2023-08-26,Summit Christian Academy,0,Marion C. Early,1
2023-08-26,Silex,1,Marquette,10
2023-08-26,Norwood,2,Marshfield,7
2023-08-26,Polo,10,Maryville,5
2023-08-26,Bishop LeBlond,5,Maryville,7
2023-08-26,Webb City,11,McDonald County,7
2023-08-26,Webb City,2,Mexico,3
2023-08-26,Blair Oaks,5,Mexico,1
2023-08-26,Lebanon,0,Nevada,1
2023-08-26,Bolivar,1,Nevada,12
2023-08-26,Hartville,0,Nevada,7
2023-08-26,Owensville,0,Northwest (Cedar Hill),9
2023-08-26,Windsor (Imperial),6,Northwest (Cedar Hill),4
2023-08-26,Pacific,8,Northwest (Cedar Hill),3
2023-08-26,Odessa,1,Oak Grove,8
2023-08-26,St. Teresa's Academy,1,Oak Grove,19
2023-08-26,Helias Catholic,8,Oakville,3
2023-08-26,Rockwood Summit,5,Oakville,2
2023-08-26,St. Michael the Archangel,3,Odessa,8
2023-08-26,Webster Groves,12,Owensville,3
2023-08-26,Halfway,5,Ozark,3
2023-08-26,Fort Osage,4,Park Hill,3
2023-08-26,William Chrisman,3,Park Hill,8
2023-08-26,Ritenour,7,Parkway South,8
2023-08-26,St. Joseph's Academy,17,Perryville,2
2023-08-26,Grain Valley,9,Platte County,1
2023-08-26,Bishop LeBlond,1,Plattsburg,5
2023-08-26,Polo,4,Plattsburg,14
2023-08-26,Grain Valley,0,Raymore-Peculiar,1
2023-08-26,Kearney,0,Raymore-Peculiar,10
2023-08-26,Norwood,5,Reeds Spring,1
2023-08-26,Halfway,6,Reeds Spring,2
2023-08-26,New Covenant Academy,7,Reeds Spring,8
2023-08-26,Sherwood,0,Republic,2
2023-08-26,Rock Bridge,7,Rockwood Summit,0
2023-08-26,Lutheran South,2,Rolla,6
2023-08-26,Union,3,Seckman,1
2023-08-26,Chaffee,9,Sikeston,0
2023-08-26,Fayette,0,Savannah,8
2023-08-26,Eugene,4,Savannah,9
2023-08-26,Notre Dame de Sion,14,St. Pius X (Kansas City),1
2023-08-26,Washington,2,Webb City,0
2023-08-26,Capital City,4,Webb City,5
2023-08-26,Fort Osage,9,St. Charles,1
2023-08-26,Pleasant Hill,14,St. Charles,9
2023-08-26,Notre Dame (Cape Girardeau),12,St. Clair,3
2023-08-26,Hartville,1,Waynesville,0
2023-08-26,Windsor (Imperial),8,Webster Groves,6
2023-08-26,Liberty (Wentzville),9,Webster Groves,7
2023-08-26,Hartville,4,West Plains,1
2023-08-26,Weaubleau,7,Wheatland,4
2023-08-26,Marion C. Early,0,Willard,4
2023-08-26,Smithville,20,William Chrisman,2
2023-08-28,Van-Far,10,California,0
2023-08-28,Cassville,4,Carl Junction,8
2023-08-28,Camdenton,6,Carthage,1
2023-08-28,Kirksville,5,Chillicothe,7
2023-08-28,Lexington,8,Clinton,17
2023-08-28,Laquey,8,Crocker,4
2023-08-28,Slater,10,Cuba,0
2023-08-28,North Platte,14,DeKalb,5
2023-08-28,North County,8,DeSoto,12
2023-08-28,Newburg,4,Dixon,12
2023-08-28,St. Elizabeth,19,East Buchanan,0
2023-08-28,St. Clair,7,East Carter,15
2023-08-28,Hillcrest,16,Fair Play,5
2023-08-28,Holt,0,Francis Howell Central,17
2023-08-28,Parkway Central,6,Francis Howell North,7
2023-08-28,Kirkwood,6,Francis Howell North,9
2023-08-28,Jefferson (Festus),5,Fredericktown,9
2023-08-28,Pacific,11,Ft. Zumwalt North,10
2023-08-28,Hannibal,0,Fulton,15
2023-08-28,Community,7,Glasgow,6
2023-08-28,Branson,10,Glendale,11
2023-08-28,Maplewood-Richmond Hts.,12,Hancock,2
2023-08-28,Norwood,6,Hartville,15
2023-08-28,Cor Jesu Academy,20,Hazelwood West,5
2023-08-28,Parkway West,14,Hazelwood West,4
